datetime,iter,ii,model_val,cal_val,physical_val
17/09/25 10:51:41,16,2,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:41,16,3,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:41,16,4,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:41,16,5,10,(np.float64(0.01), np.float64(1.05)),10.51
17/09/25 10:51:41,16,6,10,(np.float64(0.01), np.float64(1.05)),10.51
17/09/25 10:51:41,16,7,10,(np.float64(0.01), np.float64(1.05)),10.51
17/09/25 10:51:42,17,0,50,(np.float64(61.817400554093105), np.float64(1.05)),114.3174005540931
17/09/25 10:51:42,17,1,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:42,17,2,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:42,17,3,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:42,17,4,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:42,17,5,10,(np.float64(0.01), np.float64(1.05)),10.51
17/09/25 10:51:42,17,6,10,(np.float64(0.01), np.float64(1.05)),10.51
17/09/25 10:51:42,17,7,10,(np.float64(0.01), np.float64(1.05)),10.51
17/09/25 10:51:43,18,0,50,(np.float64(61.81205238857509), np.float64(1.05)),114.3120523885751
17/09/25 10:51:43,18,1,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:43,18,2,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:43,18,3,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:43,18,4,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:43,18,5,10,(np.float64(0.01), np.float64(1.05)),10.51
17/09/25 10:51:43,18,6,10,(np.float64(0.01), np.float64(1.05)),10.51
17/09/25 10:51:43,18,7,10,(np.float64(0.01), np.float64(1.05)),10.51
17/09/25 10:51:43,19,0,50,(np.float64(61.80874704050749), np.float64(1.05)),114.30874704050748
17/09/25 10:51:43,19,1,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:43,19,2,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:43,19,3,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:43,19,4,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:43,19,5,10,(np.float64(0.01), np.float64(1.05)),10.51
17/09/25 10:51:43,19,6,10,(np.float64(0.01), np.float64(1.05)),10.51
17/09/25 10:51:43,19,7,10,(np.float64(0.01), np.float64(1.05)),10.51
17/09/25 10:51:44,20,0,50,(np.float64(61.80670422305707), np.float64(1.05)),114.30670422305707
17/09/25 10:51:44,20,1,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:44,20,2,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:44,20,3,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:44,20,4,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:44,20,5,10,(np.float64(0.01), np.float64(1.05)),10.51
17/09/25 10:51:44,20,6,10,(np.float64(0.01), np.float64(1.05)),10.51
17/09/25 10:51:44,20,7,10,(np.float64(0.01), np.float64(1.05)),10.51
17/09/25 10:51:45,21,0,50,(np.float64(61.8054416924399), np.float64(1.05)),114.3054416924399
17/09/25 10:51:45,21,1,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:45,21,2,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:45,21,3,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:45,21,4,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:45,21,5,10,(np.float64(0.01), np.float64(1.05)),10.51
17/09/25 10:51:45,21,6,10,(np.float64(0.01), np.float64(1.05)),10.51
17/09/25 10:51:45,21,7,10,(np.float64(0.01), np.float64(1.05)),10.51
17/09/25 10:51:45,22,0,50,(np.float64(61.80466140560665), np.float64(1.05)),114.30466140560665
17/09/25 10:51:45,22,1,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:45,22,2,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:45,22,3,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:45,22,4,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:45,22,5,10,(np.float64(0.01), np.float64(1.05)),10.51
17/09/25 10:51:45,22,6,10,(np.float64(0.01), np.float64(1.05)),10.51
17/09/25 10:51:45,22,7,10,(np.float64(0.01), np.float64(1.05)),10.51
17/09/25 10:51:46,23,0,50,(np.float64(61.80417916182273), np.float64(1.05)),114.30417916182273
17/09/25 10:51:46,23,1,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:46,23,2,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:46,23,3,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:46,23,4,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:46,23,5,10,(np.float64(0.01), np.float64(1.05)),10.51
17/09/25 10:51:46,23,6,10,(np.float64(0.01), np.float64(1.05)),10.51
17/09/25 10:51:46,23,7,10,(np.float64(0.01), np.float64(1.05)),10.51
17/09/25 10:51:46,24,0,50,(np.float64(61.803881118773404), np.float64(1.05)),114.3038811187734
17/09/25 10:51:46,24,1,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:46,24,2,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:46,24,3,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:46,24,4,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:46,24,5,10,(np.float64(0.01), np.float64(1.05)),10.51
17/09/25 10:51:46,24,6,10,(np.float64(0.01), np.float64(1.05)),10.51
17/09/25 10:51:46,24,7,10,(np.float64(0.01), np.float64(1.05)),10.51
17/09/25 10:51:47,25,0,50,(np.float64(61.80369691803881), np.float64(1.05)),114.30369691803881
17/09/25 10:51:47,25,1,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:47,25,2,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:47,25,3,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:47,25,4,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:47,25,5,10,(np.float64(0.01), np.float64(1.05)),10.51
17/09/25 10:51:47,25,6,10,(np.float64(0.01), np.float64(1.05)),10.51
17/09/25 10:51:47,25,7,10,(np.float64(0.01), np.float64(1.05)),10.51
17/09/25 10:51:48,26,0,50,(np.float64(61.80358307572408), np.float64(1.05)),114.30358307572408
17/09/25 10:51:48,26,1,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:48,26,2,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:48,26,3,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:48,26,4,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:48,26,5,10,(np.float64(0.01), np.float64(1.05)),10.51
17/09/25 10:51:48,26,6,10,(np.float64(0.01), np.float64(1.05)),10.51
17/09/25 10:51:48,26,7,10,(np.float64(0.01), np.float64(1.05)),10.51
17/09/25 10:51:48,27,0,50,(np.float64(61.803512717304216), np.float64(1.05)),114.30351271730422
17/09/25 10:51:48,27,1,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:48,27,2,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:48,27,3,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:48,27,4,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:48,27,5,10,(np.float64(0.01), np.float64(1.05)),10.51
17/09/25 10:51:48,27,6,10,(np.float64(0.01), np.float64(1.05)),10.51
17/09/25 10:51:48,27,7,10,(np.float64(0.01), np.float64(1.05)),10.51
17/09/25 10:51:49,28,0,50,(np.float64(61.803469233409345), np.float64(1.05)),114.30346923340934
17/09/25 10:51:49,28,1,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:49,28,2,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:49,28,3,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:49,28,4,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:49,28,5,10,(np.float64(0.01), np.float64(1.05)),10.51
17/09/25 10:51:49,28,6,10,(np.float64(0.01), np.float64(1.05)),10.51
17/09/25 10:51:49,28,7,10,(np.float64(0.01), np.float64(1.05)),10.51
17/09/25 10:51:50,29,0,50,(np.float64(61.80343498353074), np.float64(1.05)),114.30343498353074
17/09/25 10:51:50,29,1,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:50,29,2,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:50,29,3,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:50,29,4,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:50,29,5,10,(np.float64(0.01), np.float64(1.05)),10.51
17/09/25 10:51:50,29,6,10,(np.float64(0.01), np.float64(1.05)),10.51
17/09/25 10:51:50,29,7,10,(np.float64(0.01), np.float64(1.05)),10.51
17/09/25 10:51:50,30,0,50,(np.float64(61.80343498353074), np.float64(3.2078064636386543)),222.19375816546346
17/09/25 10:51:50,30,1,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:50,30,2,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:50,30,3,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:50,30,4,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:50,30,5,10,(np.float64(0.01), np.float64(1.05)),10.51
17/09/25 10:51:50,30,6,10,(np.float64(0.01), np.float64(1.05)),10.51
17/09/25 10:51:50,30,7,10,(np.float64(0.01), np.float64(1.05)),10.51
17/09/25 10:51:51,31,0,50,(np.float64(61.80343498353074), np.float64(5.802193536361343)),351.9131118015979
17/09/25 10:51:51,31,1,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:51,31,2,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:51,31,3,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:51,31,4,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:51,31,5,10,(np.float64(0.01), np.float64(1.05)),10.51
17/09/25 10:51:51,31,6,10,(np.float64(0.01), np.float64(1.05)),10.51
17/09/25 10:51:51,31,7,10,(np.float64(0.01), np.float64(1.05)),10.51
17/09/25 10:51:52,32,0,50,(np.float64(61.80343498353074), np.float64(7.40561292727731)),432.0840813473962
17/09/25 10:51:52,32,1,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:52,32,2,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:52,32,3,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:52,32,4,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:52,32,5,10,(np.float64(0.01), np.float64(1.05)),10.51
17/09/25 10:51:52,32,6,10,(np.float64(0.01), np.float64(1.05)),10.51
17/09/25 10:51:52,32,7,10,(np.float64(0.01), np.float64(1.05)),10.51
17/09/25 10:51:52,33,0,50,(np.float64(61.80343498353074), np.float64(8.396580609084031)),481.6324654377323
17/09/25 10:51:52,33,1,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:52,33,2,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:52,33,3,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:52,33,4,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:52,33,5,10,(np.float64(0.01), np.float64(1.05)),10.51
17/09/25 10:51:52,33,6,10,(np.float64(0.01), np.float64(1.05)),10.51
17/09/25 10:51:52,33,7,10,(np.float64(0.01), np.float64(1.05)),10.51
17/09/25 10:51:53,34,0,50,(np.float64(61.80343498353074), np.float64(9.009032318193277)),512.2550508931946
17/09/25 10:51:53,34,1,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:53,34,2,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:53,34,3,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:53,34,4,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:53,34,5,10,(np.float64(0.01), np.float64(1.05)),10.51
17/09/25 10:51:53,34,6,10,(np.float64(0.01), np.float64(1.05)),10.51
17/09/25 10:51:53,34,7,10,(np.float64(0.01), np.float64(1.05)),10.51
17/09/25 10:51:54,35,0,50,(np.float64(61.80343498353074), np.float64(9.387548290890754)),531.1808495280685
17/09/25 10:51:54,35,1,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:54,35,2,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:54,35,3,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:54,35,4,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:54,35,5,10,(np.float64(0.01), np.float64(1.05)),10.51
17/09/25 10:51:54,35,6,10,(np.float64(0.01), np.float64(1.05)),10.51
17/09/25 10:51:54,35,7,10,(np.float64(0.01), np.float64(1.05)),10.51
17/09/25 10:51:54,36,0,50,(np.float64(61.80343498353074), np.float64(9.621484027302522)),542.8776363486569
17/09/25 10:51:54,36,1,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:54,36,2,50,(np.float64(0.01), np.float64(1.05)),52.51
